O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),Avg_Automation_Desire,Count_Worker_Ratings,Reason_FreeTime,Reason_Repetitive,Reason_HumanError,Reason_Stress,Reason_Difficulty,Reason_Scale,Reason_Physical,Reason_Control,Reason_DomainKnowledge,Reason_Empathy,Reason_QualityOversight,Reason_Dynamic,Reason_Ethical,Avg_Automation_Capacity,Avg_Expert_Physical,Avg_Expert_Uncertainty,Avg_Expert_DomainExp,Avg_Expert_Interpersonal,Avg_Expert_AgencyScale,Economic_Impact_USD,Economic_Impact_Millions
15-1231.00,Computer Network Support Specialists,19002,Troubleshoot network or connectivity problems for users or user groups.,Core,07/2014,3.0,3.0,3.96,91.65,79610.0,146450.0,['Working with Computers'],['4.A.3.b.1'],2.4285714285714284,7,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,2.5,2.0,4.0,4.5,3.0,4.0,2831443378.5714283,2831.443378571428
15-1231.00,Computer Network Support Specialists,19010,Provide telephone support related to networking or connectivity issues.,Core,07/2014,5.0,5.0,3.96,89.29,79610.0,146450.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],3.8,5,0.8,0.8,0.8,0.6,0.4,0.8,0.0,0.0,0.0,0.2,0.2,0.2,0.0,3.6666666666666665,1.3333333333333333,1.6666666666666667,2.3333333333333335,3.6666666666666665,2.3333333333333335,6497884961.333333,6497.884961333333
15-1231.00,Computer Network Support Specialists,18989,"Analyze network data to determine network usage, disk space availability, or server function.",Core,07/2014,5.0,5.0,3.94,96.97,79610.0,146450.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']",3.3333333333333335,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,7254417022.222223,7254.417022222223
15-1231.00,Computer Network Support Specialists,19011,Research hardware or software products to meet technical networking or security needs.,Core,07/2014,4.0,4.0,3.34,86.33,79610.0,146450.0,['Getting Information'],['4.A.1.a.1'],2.0,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.3333333333333333,2.3333333333333335,3.3333333333333335,3.0,2.6666666666666665,3109035866.666667,3109.035866666667
15-1232.00,Computer User Support Specialists,1285,Oversee the daily performance of computer systems.,Core,08/2023,5.0,5.0,3.99,87.52,64990.0,697210.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],2.75,8,0.625,0.25,0.625,0.0,0.125,0.25,0.125,0.375,0.25,0.375,0.375,0.125,0.25,5.0,1.0,1.0,1.5,1.0,1.0,24921422845.000004,24921.422845000005
15-1232.00,Computer User Support Specialists,1288,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",Core,08/2023,6.0,6.0,3.94,100.0,64990.0,697210.0,"['Getting Information', 'Working with Computers', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.1.a.1', '4.A.3.b.1', '4.A.4.a.2']",3.0,10,0.6,0.7,0.4,0.2,0.1,0.3,0.2,0.2,0.3,0.5,0.4,0.3,0.2,3.6666666666666665,1.6666666666666667,3.0,3.3333333333333335,2.6666666666666665,3.0,19937138276.0,19937.138276
15-1232.00,Computer User Support Specialists,1282,Answer user inquiries regarding computer software or hardware operation to resolve problems.,Core,08/2023,7.0,7.0,3.79,99.06,64990.0,697210.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],2.8,10,0.5,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0.6,0.5,0.4,0.4,0.2,4.5,1.5,1.5,3.0,2.5,1.5,22837085661.6,22837.0856616
15-1232.00,Computer User Support Specialists,1283,Enter commands and observe system functioning to verify correct operations and detect errors.,Core,08/2023,5.0,5.0,3.57,83.18,64990.0,697210.0,"['Inspecting Equipment, Structures, or Materials']",['4.A.1.b.2'],2.2857142857142856,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,4.666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,19332982570.666668,19332.982570666667
15-1232.00,Computer User Support Specialists,1287,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",Core,08/2023,5.0,5.0,3.47,97.96,64990.0,697210.0,['Documenting/Recording Information'],['4.A.3.b.6'],4.5,6,0.8333333333333334,1.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.0,4.666666666666667,1.3333333333333333,2.0,1.3333333333333333,2.0,1.3333333333333333,38061809436.0,38061.809436
15-1232.00,Computer User Support Specialists,1292,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",Core,08/2023,3.0,3.0,3.39,97.96,64990.0,697210.0,"['Judging the Qualities of Objects, Services, or People', 'Providing Consultation and Advice to Others']","['4.A.2.a.1', '4.A.4.b.6']",2.625,8,0.375,0.375,0.125,0.0,0.0,0.25,0.25,0.5,0.625,0.375,0.5,0.375,0.375,3.0,1.0,2.0,2.6666666666666665,3.0,2.6666666666666665,14273178538.5,14273.1785385
15-1232.00,Computer User Support Specialists,1290,"Develop training materials and procedures, or train users in the proper use of hardware or software.",Core,08/2023,3.0,3.0,3.3,100.0,64990.0,697210.0,['Training and Teaching Others'],['4.A.4.b.3'],3.0,9,0.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.6666666666666665,4.0,12687269812.0,12687.269812
15-1251.00,Computer Programmers,1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Core,08/2018,7.0,7.0,4.42,93.78,103640.0,109870.0,"['Thinking Creatively', 'Working with Computers']","['4.A.2.b.2', '4.A.3.b.1']",3.1,10,0.5,0.1,0.2,0.2,0.2,0.4,0.1,0.6,0.6,0.4,0.5,0.4,0.2,3.5,1.5,2.0,3.0,2.0,3.0,4941926231.2,4941.9262312
15-1251.00,Computer Programmers,1267,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Core,08/2018,6.0,6.0,4.38,93.87,103640.0,109870.0,"['Inspecting Equipment, Structures, or Materials', 'Working with Computers']","['4.A.1.b.2', '4.A.3.b.1']",3.0,10,0.5,0.5,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.0,0.0,0.0,3.0,1.5,2.0,3.0,1.5,3.5,4099293648.0,4099.293648
15-1251.00,Computer Programmers,1272,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Core,08/2018,5.0,5.0,4.37,100.0,103640.0,109870.0,['Thinking Creatively'],['4.A.2.b.2'],2.5,8,0.375,0.25,0.125,0.25,0.125,0.0,0.125,0.5,0.5,0.375,0.5,0.5,0.25,3.0,1.5,3.5,4.0,3.0,3.0,3416078040.0,3416.07804
15-1251.00,Computer Programmers,1270,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Core,08/2018,6.0,6.0,4.15,88.75,103640.0,109870.0,"['Thinking Creatively', 'Working with Computers']","['4.A.2.b.2', '4.A.3.b.1']",3.111111111111111,9,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2222222222222222,4.5,1.5,2.0,3.5,1.5,2.0,6376679008.0,6376.679008
15-1251.00,Computer Programmers,1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Core,08/2018,3.0,3.0,3.58,86.57,103640.0,109870.0,['Thinking Creatively'],['4.A.2.b.2'],3.0,8,0.5,0.125,0.25,0.375,0.375,0.375,0.25,0.25,0.375,0.125,0.25,0.375,0.125,5.0,1.0,1.0,1.5,1.0,1.0,6832156080.0,6832.15608
15-1251.00,Computer Programmers,1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,08/2018,5.0,5.0,3.56,99.79,103640.0,109870.0,['Documenting/Recording Information'],['4.A.3.b.6'],3.625,8,0.5,0.5,0.25,0.25,0.125,0.5,0.25,0.0,0.125,0.0,0.0,0.0,0.0,4.666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.3333333333333333,7705153801.333333,7705.153801333333
15-1251.00,Computer Programmers,1277,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Core,08/2018,5.0,5.0,3.28,69.44,103640.0,109870.0,"['Inspecting Equipment, Structures, or Materials']",['4.A.1.b.2'],2.625,8,0.375,0.375,0.125,0.25,0.25,0.25,0.125,0.375,0.625,0.125,0.125,0.375,0.125,3.5,1.5,2.0,2.5,1.5,3.0,4184695598.9999995,4184.695599
15-1251.00,Computer Programmers,1274,Write or contribute to instructions or manuals to guide end users.,Core,08/2018,4.0,4.0,3.27,85.01,103640.0,109870.0,['Documenting/Recording Information'],['4.A.3.b.6'],2.8,10,0.5,0.4,0.2,0.1,0.1,0.2,0.0,0.2,0.2,0.2,0.1,0.1,0.1,4.0,1.6666666666666667,2.0,2.6666666666666665,3.0,2.0,5101343206.4,5101.3432064
15-1251.00,Computer Programmers,1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Core,08/2018,3.0,3.0,3.26,67.74,103640.0,109870.0,"['Inspecting Equipment, Structures, or Materials']",['4.A.1.b.2'],3.4,10,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.0,5.0,1.0,2.0,2.5,1.0,1.0,7743110223.999999,7743.110223999999
15-1251.00,Computer Programmers,1279,"Assign, coordinate, and review work and activities of programming personnel.",Core,08/2018,4.0,4.0,3.22,70.93,103640.0,109870.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],2.3333333333333335,9,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,2.3333333333333335,1.0,2.3333333333333335,3.0,4.0,3.3333333333333335,2479819614.2222223,2479.8196142222223
15-1251.00,Computer Programmers,21049,Develop Web sites.,Supplemental,08/2018,5.0,5.0,3.24,50.27,103640.0,109870.0,['Thinking Creatively'],['4.A.2.b.2'],2.6666666666666665,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111,4.0,1.5,2.5,3.0,2.5,2.5,4858422101.333334,4858.422101333334
15-1299.08,Computer Systems Engineers/Architects,14675,Monitor system operation to detect potential problems.,Core,08/2024,5.0,5.0,4.09,100.0,0.0,0.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],4.0,4,1.0,0.75,0.75,0.75,0.0,0.75,0.0,0.5,0.5,0.25,0.5,0.25,0.25,3.0,2.0,3.5,4.0,1.5,3.5,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14673,"Identify system data, hardware, or software components required to meet user needs.",Core,08/2024,3.0,3.0,3.95,100.0,0.0,0.0,['Making Decisions and Solving Problems'],['4.A.2.b.1'],2.5,6,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,3.0,2.0,2.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14686,"Research, test, or verify proper functioning of software patches and fixes.",Core,08/2024,3.0,3.0,3.91,100.0,0.0,0.0,"['Getting Information', 'Inspecting Equipment, Structures, or Materials']","['4.A.1.a.1', '4.A.1.b.2']",3.5714285714285716,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.42857142857142855,4.0,1.0,1.5,4.0,1.5,1.5,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Core,08/2024,3.0,3.0,3.81,100.0,0.0,0.0,"['Communicating with Supervisors, Peers, or Subordinates', 'Guiding, Directing, and Motivating Subordinates']","['4.A.4.a.2', '4.A.4.b.4']",3.0,8,0.75,0.375,0.375,0.125,0.0,0.25,0.0,0.625,0.5,0.25,0.75,0.625,0.5,3.3333333333333335,1.0,2.0,4.0,3.3333333333333335,3.3333333333333335,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14683,Design and conduct hardware or software tests.,Core,08/2024,4.0,4.0,3.73,100.0,0.0,0.0,"['Inspecting Equipment, Structures, or Materials']",['4.A.1.b.2'],3.6,5,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.6,0.6,0.2,0.6,0.6,0.2,2.5,2.0,2.5,4.0,2.0,4.0,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14672,Provide technical guidance or support for the development or troubleshooting of systems.,Core,08/2024,5.0,5.0,3.64,100.0,0.0,0.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],3.3333333333333335,9,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,3.3333333333333335,1.0,3.0,3.6666666666666665,2.6666666666666665,3.0,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Core,08/2024,3.0,3.0,3.62,95.45,0.0,0.0,['Thinking Creatively'],['4.A.2.b.2'],2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.6666666666666667,3.0,3.3333333333333335,2.6666666666666665,3.0,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14667,"Provide advice on project costs, design concepts, or design changes.",Core,08/2024,3.0,3.0,3.45,100.0,0.0,0.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],3.5714285714285716,7,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,2.3333333333333335,2.0,3.3333333333333335,4.333333333333333,4.0,4.666666666666667,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14671,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",Core,08/2024,3.0,3.0,3.45,95.45,0.0,0.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],2.6,5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.8,0.8,0.6,0.6,0.8,0.8,3.0,1.0,2.6666666666666665,3.6666666666666665,2.3333333333333335,3.0,0.0,0.0
15-1299.08,Computer Systems Engineers/Architects,14687,"Communicate project information through presentations, technical reports, or white papers.",Core,08/2024,3.0,3.0,3.37,86.36,0.0,0.0,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']",3.5,8,0.625,0.125,0.375,0.375,0.25,0.5,0.0,0.375,0.625,0.625,0.25,0.5,0.375,3.3333333333333335,1.0,1.3333333333333333,3.3333333333333335,3.0,2.6666666666666665,0.0,0.0
15-1299.09,Information Technology Project Managers,16157,Monitor or track project milestones and deliverables.,Core,08/2019,5.0,5.0,4.29,100.0,0.0,0.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],3.3,10,0.6,0.4,0.5,0.0,0.0,0.4,0.0,0.3,0.3,0.6,0.6,0.6,0.2,2.3333333333333335,1.3333333333333333,2.6666666666666665,3.0,4.666666666666667,4.0,0.0,0.0
15-1299.09,Information Technology Project Managers,16152,"Submit project deliverables, ensuring adherence to quality standards.",Core,08/2019,3.0,3.0,4.25,95.24,0.0,0.0,"['Monitoring Processes, Materials, or Surroundings', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.2', '4.A.2.a.1']",2.7,10,0.3,0.2,0.2,0.0,0.2,0.3,0.1,0.5,0.5,0.4,0.4,0.2,0.2,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0
15-1299.09,Information Technology Project Managers,16159,"Initiate, review, or approve modifications to project plans.",Core,08/2019,3.0,3.0,4.2,100.0,0.0,0.0,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6'],2.8,10,0.4,0.5,0.3,0.1,0.0,0.1,0.1,0.5,0.4,0.3,0.4,0.3,0.0,3.3333333333333335,1.6666666666666667,3.6666666666666665,3.0,3.3333333333333335,3.6666666666666665,0.0,0.0
15-1299.09,Information Technology Project Managers,16170,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Core,08/2019,4.0,4.0,4.05,100.0,0.0,0.0,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6'],2.8,10,0.4,0.1,0.3,0.2,0.2,0.4,0.1,0.6,0.7,0.5,0.3,0.4,0.3,2.3333333333333335,1.0,3.0,4.0,4.0,4.0,0.0,0.0
15-1299.09,Information Technology Project Managers,16151,Perform risk assessments to develop response strategies.,Core,08/2019,4.0,4.0,4.05,100.0,0.0,0.0,['Analyzing Data or Information'],['4.A.2.a.4'],3.0,10,0.5,0.1,0.4,0.1,0.3,0.1,0.2,0.4,0.2,0.5,0.2,0.3,0.1,2.0,2.0,3.5,4.0,4.0,4.0,0.0,0.0
15-1299.09,Information Technology Project Managers,16168,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Core,08/2019,3.0,3.0,4.0,100.0,0.0,0.0,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']",3.0,10,0.5,0.3,0.4,0.4,0.3,0.2,0.3,0.2,0.5,0.3,0.4,0.2,0.3,4.5,1.0,1.5,3.0,2.5,1.5,0.0,0.0
15-1299.09,Information Technology Project Managers,16171,Develop and manage work breakdown structure (WBS) of information technology projects.,Core,08/2019,3.0,3.0,3.9,100.0,0.0,0.0,"['Organizing, Planning, and Prioritizing Work', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.6', '4.A.4.b.4']",2.7,10,0.4,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,2.0,2.3333333333333335,4.333333333333333,4.0,4.333333333333333,4.333333333333333,0.0,0.0
15-1299.09,Information Technology Project Managers,16167,"Assign duties, responsibilities, and spans of authority to project personnel.",Core,08/2019,4.0,4.0,3.79,100.0,0.0,0.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],2.6,10,0.4,0.2,0.2,0.1,0.0,0.1,0.2,0.2,0.2,0.5,0.4,0.1,0.2,2.0,1.3333333333333333,3.3333333333333335,2.6666666666666665,4.0,4.333333333333333,0.0,0.0
