Task ID,Occupation,Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,3,2,4,1,2,False,False,False,True,False,False,1,5,2,4,3,False,False,True,True,False,False,False,,,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Average,3,2,1,1,3,True,True,True,False,False,False,1,3,4,3,3,False,False,False,True,True,False,True,,,Female,White,86K-165K,50,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,32095,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
1283,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Expert,1,4,4,1,4,False,False,False,False,False,False,1,5,4,4,5,False,True,True,True,True,True,True,FALSE,,Female,White,86K-165K,50,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,32095,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
16152,Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,1,3,1,1,True,True,False,False,False,False,1,3,2,4,3,False,True,True,True,True,True,False,,,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Novice,1,1,3,1,2,False,False,False,False,False,False,1,4,4,4,5,False,True,True,True,True,True,True,FALSE,,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
16168,Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,4,1,2,False,False,False,False,False,False,1,4,2,4,4,False,False,True,True,True,True,True,FALSE,,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,3,1,2,1,2,True,True,False,False,False,False,1,5,4,5,2,False,False,False,False,False,False,False,,FALSE,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,5,2,3,1,1,True,True,False,True,False,False,1,3,4,3,2,False,False,False,False,False,False,False,,FALSE,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
14683,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,3,1,2,5,4,True,False,True,False,False,False,False,FALSE,,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,3,3,False,False,False,False,False,False,1,1,2,4,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Expert,3,2,3,2,3,False,False,True,True,False,False,4,2,1,4,2,False,False,False,False,False,False,False,,FALSE,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,5,3,4,4,2,False,True,False,False,True,False,3,4,3,2,3,False,True,False,True,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,2,1,False,True,False,True,False,False,3,4,2,3,3,True,True,False,False,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,3,3,4,4,2,False,False,False,False,False,False,4,4,2,2,4,False,False,False,True,False,True,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,4,2,False,False,False,True,False,True,4,2,2,3,3,False,True,True,True,False,False,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,3,4,False,False,False,False,True,False,4,3,1,4,4,False,False,False,False,False,False,False,,,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Average,4,1,1,3,2,True,True,False,False,False,True,2,3,3,3,3,False,False,False,True,True,False,True,,,Female,White,86K-165K,50,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,32095,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
1292,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Expert,1,4,4,1,4,False,False,False,False,False,False,2,5,4,4,5,False,False,True,True,True,True,True,FALSE,,Female,White,86K-165K,50,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,32095,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",081284e9-a7c3-4526-8b29-6fac21e7dc74,2025/2/25,Expert,2,2,4,3,3,False,False,False,False,False,False,4,3,3,3,3,True,False,True,True,True,False,False,FALSE,,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,27215,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Monthly,Never,Never,Never,Never,Never,Prolific
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",081284e9-a7c3-4526-8b29-6fac21e7dc74,2025/2/25,Expert,5,2,3,1,1,True,True,False,False,False,True,1,1,1,2,2,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,27215,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Monthly,Never,Never,Never,Never,Never,Prolific
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",2e027f5b-019e-4215-ae3c-180cf6c576ff,2025/1/22,Expert,5,5,5,5,5,False,False,True,False,False,False,5,5,5,5,5,False,False,True,False,False,False,False,,,Male,Black,86K-165K,26,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,90001,Republican,I have heard of them but don't know much about their functionalities.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,2e027f5b-019e-4215-ae3c-180cf6c576ff,2025/1/22,Expert,5,5,5,5,5,False,False,True,False,False,False,5,5,5,5,5,False,False,False,True,False,False,False,,,Male,Black,86K-165K,26,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,90001,Republican,I have heard of them but don't know much about their functionalities.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
1277,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,2025/1/23,Novice,1,1,1,1,1,False,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE,Male,Black,86K-165K,18,"Some College, No Degree",1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
1274,Computer Programmers,Write or contribute to instructions or manuals to guide end users.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,2025/1/23,Novice,1,1,1,1,1,False,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE,Male,Black,86K-165K,18,"Some College, No Degree",1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",7f35d4fc-0ca5-43db-afdf-939a1d921f8f,2025/1/23,Novice,1,1,1,1,1,False,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE,Male,Black,86K-165K,18,"Some College, No Degree",1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
21049,Computer Programmers,Develop Web sites.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,2025/1/23,Novice,1,1,1,1,1,False,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE,Male,Black,86K-165K,18,"Some College, No Degree",1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,a6afe946-8c94-4aaf-95b3-5491db630053,2025/1/23,Expert,1,3,4,5,4,False,False,False,False,False,False,1,2,2,5,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,30-60K,39,"Some College, No Degree",3-5 years,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,46219,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Weekly,Weekly,Weekly,Never,Monthly,Never,Weekly,Prolific
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,081284e9-a7c3-4526-8b29-6fac21e7dc74,2025/2/25,Expert,3,2,5,4,2,False,False,False,True,False,True,3,4,4,4,3,True,False,True,False,True,False,False,,,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,27215,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Monthly,Never,Never,Never,Never,Never,Prolific
1292,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",081284e9-a7c3-4526-8b29-6fac21e7dc74,2025/2/25,Average,2,1,3,1,3,False,False,False,False,False,False,4,1,5,4,5,True,True,True,False,True,True,True,FALSE,,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,27215,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Monthly,Never,Never,Never,Never,Never,Prolific
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,150f350e-279a-4cb9-8742-f67b5aa703ae,2025/2/25,Expert,2,2,4,4,4,False,False,False,False,False,False,2,1,3,4,3,True,True,False,False,False,False,False,FALSE,,Male,White,30-60K,52,Associate Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Monthly,Never,Monthly,Monthly,Never,Never,Never,Monthly,Prolific
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",150f350e-279a-4cb9-8742-f67b5aa703ae,2025/2/25,Expert,4,2,3,2,1,True,True,False,False,False,False,1,3,2,4,3,False,False,False,True,False,False,False,,,Male,White,30-60K,52,Associate Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Monthly,Never,Monthly,Monthly,Never,Never,Never,Monthly,Prolific
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",a6afe946-8c94-4aaf-95b3-5491db630053,2025/1/23,Expert,3,2,3,3,2,True,True,False,False,False,False,1,2,1,4,1,False,False,False,False,False,False,False,,FALSE,Male,White,30-60K,39,"Some College, No Degree",3-5 years,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,46219,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Weekly,Weekly,Weekly,Never,Monthly,Never,Weekly,Prolific
21049,Computer Programmers,Develop Web sites.,dcdc99e1-d187-4ff4-b100-f05a0a8701fa,2025/3/24,Novice,5,1,1,1,3,False,True,False,False,False,False,1,3,1,1,4,False,False,False,False,True,False,False,,,Male,Asian American and Pacific Islander,30-60K,23,Master’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Weekly,Weekly,Weekly,Daily,Weekly,Daily,WoM
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,4,1,1,1,1,True,True,True,True,False,True,1,4,3,4,3,False,False,False,False,False,False,False,,FALSE,Female,White,165K-209K,44,Master’s Degree,1-2 year,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Never,Weekly,Weekly,Daily,Daily,Never,Monthly,Never,Daily,Prolific
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,4,1,1,1,1,True,True,False,False,False,False,1,1,1,4,1,False,False,False,False,False,False,False,,FALSE,Female,White,165K-209K,44,Master’s Degree,1-2 year,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Never,Weekly,Weekly,Daily,Daily,Never,Monthly,Never,Daily,Prolific
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,3,1,1,1,1,True,True,False,False,False,False,1,1,1,1,2,False,False,False,False,False,False,False,,FALSE,Female,White,165K-209K,44,Master’s Degree,1-2 year,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Never,Weekly,Weekly,Daily,Daily,Never,Monthly,Never,Daily,Prolific
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,150f350e-279a-4cb9-8742-f67b5aa703ae,2025/2/25,Expert,4,3,4,3,3,True,False,False,True,False,False,1,4,3,4,4,False,False,True,True,False,True,False,,,Male,White,30-60K,52,Associate Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Monthly,Never,Monthly,Monthly,Never,Never,Never,Monthly,Prolific
